name,R@1,ΔR@1,R@5,R@10,MeanR,ms/q
A0_full,64.70,+0.00,83.80,89.80,10.5,15.79
A1_no_prefilter,64.70,+0.00,83.80,89.80,10.5,15.77
A2_no_two_stage,64.70,+0.00,83.80,89.80,10.5,15.59
A3_no_unified_scheduler,64.70,+0.00,83.80,89.80,10.5,15.54
A4_no_seg_agg,64.70,+0.00,83.80,89.80,10.5,15.46
A5_no_offline_index,29.10,-35.60,52.90,64.40,39.4,0.11
A6_no_qpp,64.70,+0.00,83.80,89.80,10.5,15.46
A7_no_cross_cache,64.70,+0.00,83.80,89.80,10.5,15.43
A8_no_adaptive_sampler,64.70,+0.00,83.80,89.80,10.5,15.44
A9_no_meta_filter,59.30,-5.40,78.20,85.10,13.4,14.88
A10_no_meta_fusion,64.90,+0.20,84.20,89.80,10.6,15.48
