name,alpha_nnn,tau_qamp,col_beta,topm_rerank,R@1,R@5,R@10,MeanR,ms_per_query
J_a0.7_t0.1_c0.4_m500,0.7,0.1,0.4,500,0.695,0.86,0.909,8.754999999999999,2.5359827000065707
J_a0.7_t0.1_c0.6_m300,0.7,0.1,0.6,300,0.695,0.857,0.911,9.275,2.5212482000351883
J_a0.7_t0.1_c0.6_m500,0.7,0.1,0.6,500,0.695,0.856,0.911,8.745000000000001,2.5658886000164784
J_a0.5_t0.1_c0.4_m500,0.5,0.1,0.4,500,0.691,0.854,0.909,8.658000000000001,2.690154799958691
J_a0.5_t0.1_c0.6_m300,0.5,0.1,0.6,300,0.691,0.858,0.907,9.03,2.545261599996593
J_a0.7_t0.05_c0.4_m500,0.7,0.05,0.4,500,0.689,0.854,0.91,8.763,2.560359299997799
J_a0.7_t0.05_c0.6_m300,0.7,0.05,0.6,300,0.689,0.854,0.908,9.204,2.6412944000330754
J_a0.9_t0.05_c0.6_m300,0.9,0.05,0.6,300,0.688,0.857,0.907,9.488,2.5752389999688603
J_a0.9_t0.1_c0.4_m500,0.9,0.1,0.4,500,0.688,0.855,0.903,9.009,2.4991277999943122
J_a0.5_t0.1_c0.4_m300,0.5,0.1,0.4,300,0.687,0.853,0.905,8.891,2.5814554000389762
J_a0.5_t0.1_c0.6_m500,0.5,0.1,0.6,500,0.687,0.86,0.912,8.64,2.6203907000017352
J_a0.7_t0.05_c0.6_m500,0.7,0.05,0.6,500,0.687,0.857,0.912,8.702,2.726271000050474
J_a0.9_t0.1_c0.6_m500,0.9,0.1,0.6,500,0.687,0.857,0.905,8.892,2.684814499982167
J_a0.9_t0.1_c0.6_m300,0.9,0.1,0.6,300,0.686,0.851,0.904,9.639,2.571636100008618
J_a0.7_t0.05_c0.4_m300,0.7,0.05,0.4,300,0.685,0.851,0.906,9.126,2.6473541000159457
J_a0.7_t0.1_c0.4_m300,0.7,0.1,0.4,300,0.685,0.859,0.901,9.218,2.574832599959336
J_a0.9_t0.05_c0.4_m500,0.9,0.05,0.4,500,0.685,0.854,0.906,9.001,2.5684607999864966
J_a0.5_t0.05_c0.4_m500,0.5,0.05,0.4,500,0.682,0.851,0.906,8.742,2.549675300018862
J_a0.9_t0.05_c0.6_m500,0.9,0.05,0.6,500,0.682,0.856,0.911,8.857,2.5785357000422664
J_a0.5_t0.05_c0.6_m300,0.5,0.05,0.6,300,0.681,0.858,0.904,9.01,2.590731500007678
J_a0.5_t0.05_c0.6_m500,0.5,0.05,0.6,500,0.681,0.859,0.913,8.721,2.635248800041154
J_a0.9_t0.1_c0.4_m300,0.9,0.1,0.4,300,0.68,0.851,0.904,9.67,2.5682283000205643
J_a0.5_t0.05_c0.4_m300,0.5,0.05,0.4,300,0.679,0.85,0.902,8.884,2.639736100041773
J_a0.9_t0.05_c0.4_m300,0.9,0.05,0.4,300,0.679,0.85,0.899,9.563,2.488677400047891
